DES_CATEGORIA_MATERIAL,DES_MARCA_MATERIAL,FLG_DATA,PCT_DESCONTO,flg_mkt,ANO,CICLO,VL_PRECO_BOX_COX,QT_VENDA_lagged_3
2,58,0,0.0,0,3,09,0.7020616413374674,54978.0
2,62,0,33.33,1,3,07,0.7020512860436076,9648.0
5,59,0,25.34,1,1,11,0.7021621841002852,156226.0
5,49,0,0.0,0,2,05,0.7021543929454931,824.0
4,75,0,20.325,1,1,14,0.7020650055936173,16966.0
1,77,0,0.0,0,1,03,0.7021320987068744,694.0
5,66,0,0.0,0,2,02,0.7021635215888099,332770.0
2,58,0,0.0,0,2,02,0.7020736441312808,250.0
4,77,0,0.0,0,3,04,0.7021515394260057,1382.0
2,41,0,0.0,0,2,10,0.7020736441312808,242.0
5,75,1,0.0,1,1,18,0.7021714183331627,161142.0
0,37,0,0.0,0,1,08,0.7020518893453717,240.0
4,56,0,0.0,0,1,08,0.702086176505966,30528.0
2,64,0,0.0,0,2,10,0.7020576916578394,3536.6666666666665
2,57,1,0.0,0,1,18,0.7020736441312808,328.0
5,56,0,20.03,1,2,07,0.7021111996446068,98326.0
3,56,0,0.0,0,1,06,0.7021059275556,1778.0
4,77,0,0.0,0,3,03,0.7020967414067151,32512.0
3,56,0,0.0,0,1,16,0.7020884412735696,780.0
5,79,1,0.0,0,3,06,0.7021543929454931,1042.0
5,75,0,15.0,1,3,01,0.7021791953414708,87832.0
4,56,0,25.0,1,3,01,0.7021106180430873,100248.0
0,64,0,0.0,1,1,04,0.7020962578541758,11664.0
4,63,1,0.0,0,1,09,0.7020679895475345,97964.0
3,71,0,15.0,1,3,01,0.7020875780584411,18816.0
5,56,0,25.0,1,3,03,0.7021074764254789,101828.0
0,79,1,0.0,0,3,08,0.7021024423645792,488.0
5,59,0,20.0,1,3,10,0.7021580155783737,51574.0
2,58,1,0.0,0,2,11,0.7020354999646563,18706.0
5,56,0,0.0,0,3,07,0.7021305051721759,2504.0
4,61,0,0.0,0,1,03,0.7021138170241582,7820.0
3,63,0,20.0,1,1,15,0.7020518628138017,44352.0
5,69,0,0.0,0,3,04,0.7021368594142084,38926.0
4,63,0,20.0,1,3,04,0.7020187932379394,11780.0
5,56,0,20.0,1,3,05,0.702121855247177,21404.0
2,70,1,0.0,0,3,08,0.7020586962263123,342.0
1,56,1,0.0,0,3,06,0.7021350198569171,2010.0
5,48,0,0.0,0,1,14,0.702125012762313,7110.0
